feat,side,mode,n,y3,mkt,res,lo,hi,res_ex,n_ex,roi_lin,roi_mul,abs_res
f_pos_avg_3,最上位,事前指定,2266,19.72639011473963,21.19206918179346,-1.4656790670538322,-3.104140881040057,0.17278274693239282,-1.2301390577062894,2343,64.6955244314943,65.06559870071204,1.4656790670538322
f_pos_avg_3,最下位,事前指定,2038,21.197252208047104,20.202236863268915,0.9950153447781884,-0.7794374307756211,2.769468120331998,-0.010092150171781,2571,76.3838228876964,73.34276592095858,0.9950153447781884
f_pos_avg_3,最大残差(q3),データ選択,2126,23.18908748824083,22.100747839413803,1.0883396488270247,-0.7056822215075682,2.8823615191616176,0.22288295566424143,2480,76.82711333192837,73.34218856329103,1.0883396488270247
f_pos_avg_3,最小残差(q9),データ選択,2266,19.72639011473963,21.19206918179346,-1.4656790670538322,-3.104140881040057,0.17278274693239282,-1.2301390577062894,2343,64.6955244314943,65.06559870071204,1.4656790670538322
f_pos_std_3,最上位,事前指定,2549,20.24323264025108,21.527229710781263,-1.2839970705301824,-2.843890246885185,0.2758961058248206,0.5401714451769679,2060,65.55851391498165,65.73079678918879,1.2839970705301824
f_pos_std_3,最下位,事前指定,2100,22.428571428571427,21.756169586209403,0.6724018423620248,-1.1116116105020504,2.4564152952261002,1.5679766249411116,2509,74.85140875121962,72.06034760139478,0.6724018423620248
f_pos_std_3,最大残差(q3),データ選択,1370,31.45985401459854,30.62590941891596,0.8339445956825842,-1.624988157535779,3.292877348900947,-1.5024719119133527,3236,75.61873682949228,71.8033794700055,0.8339445956825842
f_pos_std_3,最小残差(q7),データ選択,2065,12.54237288135593,15.583146123722727,-3.0407732423667957,-4.469288036399896,-1.6122584483336952,-1.6956159375124291,2539,57.213827098757726,56.260260761601465,3.0407732423667957
f_p_front,最上位,事前指定,1998,21.42142142142142,21.16390676791775,0.257514653503671,-1.5414994010794243,2.0565287080867662,-0.3636250823361886,2611,72.88069460414245,70.7505175569566,0.257514653503671
f_p_front,最大残差(q6),データ選択,2340,23.162393162393162,22.460943544485513,0.7014496179076513,-1.0078837564295864,2.410782992244889,-0.407545897962433,2266,74.98938568506135,72.08295941996536,0.7014496179076513
