win,arm,seed,n_val,n_races,auc,logloss,brier,ece,best_iter,n_feat
W1,M,0,6368,487,0.7648214224747301,0.5889984509670272,0.18165186085089424,0.15225174847501619,0,0
W1,R,42,6368,487,0.7841116552850016,0.5539825558662415,0.18560130894184113,0.18953724207716932,11,134
W1,R,7,6368,487,0.7839257582376848,0.554728090763092,0.18582329154014587,0.19022004096183795,11,134
W1,R,2026,6368,487,0.7822856418220977,0.5556383728981018,0.18626990914344788,0.18955128010591707,10,134
W1,Fplus,42,6368,487,0.7726907622127323,0.5552766919136047,0.1896163374185562,0.19153153363629313,499,134
W1,Fplus,7,6368,487,0.7733092809867315,0.5554184913635254,0.18974940478801727,0.19210818006385624,498,134
W1,Fplus,2026,6368,487,0.7695909219810717,0.5580727458000183,0.1909114569425583,0.19223003884796147,499,134
W1,F,42,6368,487,0.7723597289024617,0.5545914769172668,0.18929626047611237,0.19082510609989378,499,131
W1,F,7,6368,487,0.7706009533146183,0.5556064248085022,0.18952631950378418,0.19040979095968658,499,131
W1,F,2026,6368,487,0.7696842885640569,0.5566733479499817,0.1902090162038803,0.19115982009987137,499,131
W2,M,0,7953,575,0.7057052526984453,0.6038870342578414,0.17996522374167973,0.1439698701969904,0,0
W2,R,42,7953,575,0.7578869157506923,0.5572351217269897,0.18760357797145844,0.18262496776668047,10,134
W2,R,7,7953,575,0.7565414364291478,0.5590941309928894,0.1883082389831543,0.18383213081750183,10,134
W2,R,2026,7953,575,0.7563818426974986,0.5581561326980591,0.18789741396903992,0.1825846645137461,10,134
W2,Fplus,42,7953,575,0.7746203557154551,0.5170333981513977,0.17345714569091797,0.1612144952714181,499,134
W2,Fplus,7,7953,575,0.7705462978997427,0.5139232277870178,0.17248335480690002,0.154795121530362,499,134
W2,Fplus,2026,7953,575,0.7708104738873591,0.5157724618911743,0.17305727303028107,0.15664757354430667,499,134
W2,F,42,7953,575,0.7690219266534739,0.5146121382713318,0.1723182499408722,0.15372370466951543,499,131
W2,F,7,7953,575,0.7676700301014612,0.5155288577079773,0.17289352416992188,0.1544841812893338,498,131
W2,F,2026,7953,575,0.7673266617697309,0.5174832344055176,0.17357763648033142,0.1556759718672054,499,131
W3,M,0,7899,562,0.77566154987215,0.5563644152587296,0.17019399054022755,0.14170824467502194,0,0
W3,R,42,7899,562,0.8025229088278631,0.5198724865913391,0.1721327155828476,0.18260641412269255,10,134
W3,R,7,7899,562,0.8041215096896578,0.5186794400215149,0.17173968255519867,0.18248311771005146,10,134
W3,R,2026,7899,562,0.803284390330258,0.5200594663619995,0.1722790002822876,0.18348746196969218,10,134
W3,Fplus,42,7899,562,0.7977663082087201,0.5114915370941162,0.17165201902389526,0.17793787940478292,499,134
W3,Fplus,7,7899,562,0.7969964330979816,0.5102941989898682,0.17122796177864075,0.1761803223424538,496,134
W3,Fplus,2026,7899,562,0.7969028634413335,0.5118030309677124,0.1717141568660736,0.1773936780112305,499,134
W3,F,42,7899,562,0.794200407700449,0.512884259223938,0.1720266044139862,0.1769755717075947,499,131
W3,F,7,7899,562,0.7955885006802639,0.5120540261268616,0.17178019881248474,0.17748512573099723,499,131
W3,F,2026,7899,562,0.7955379482663766,0.5126797556877136,0.17212486267089844,0.17816799741456713,499,131
