axis,cond,TUNE_race,TUNE_horse,TUNE_ai3,TUNE_mk3,TUNE_d3,TUNE_ai1,TUNE_mk1,TUNE_d1,TUNE_field,TUNE_dll,CONF_race,CONF_horse,CONF_ai3,CONF_mk3,CONF_d3,CONF_ai1,CONF_mk1,CONF_d1,CONF_field,CONF_dll,CONF_lo,CONF_hi
競馬場,中山,191,2711,0.7902836889853183,0.8082940295851516,-0.018010340599833308,0.8354587384692097,0.8507666417352281,-0.015307903266018386,14.66875691626706,0.015908317119505633,201,2775,0.8094487659920165,0.8221412122933522,-0.012692446301335703,0.7948698620340412,0.8060764553301867,-0.011206593296145484,14.620900900900901,0.00982649678834513,-0.025270325246788745,-0.0015255602057532855
競馬場,阪神,263,3536,0.7815097746914136,0.7963509448952953,-0.01484117020388176,0.799021606670082,0.8238700323768963,-0.024848425706814226,14.233031674208144,0.007372974899667872,271,3599,0.793863448325797,0.8154032329985899,-0.021539784672792828,0.7816901876951461,0.7999280398453024,-0.018237852150156275,14.101972770213948,0.020018188470454668,-0.032402270116892506,-0.011398933048245628
競馬場,小倉,119,1618,0.7836873052155042,0.7996365873867389,-0.015949282171234702,0.762474703023304,0.7744630874364422,-0.011988384413138209,14.668726823238567,0.014730722571501598,102,1376,0.7649599931903304,0.7979230507320395,-0.03296305754170914,0.8093468156493366,0.8374849939975991,-0.028138178348262488,14.3125,0.014274231946349913,-0.05246158241312687,-0.011063186758964144
競馬場,中京,96,1329,0.7915723981900452,0.8101626963002395,-0.018590298110194303,0.8208299540416328,0.8339585022979183,-0.01312854825628551,14.683972911963883,0.01228223431596398,210,2832,0.7835034528495018,0.8031324337182648,-0.01962898086876297,0.8114337170972331,0.8305528984812787,-0.019119181384045558,14.339689265536723,0.014349546850744355,-0.03191416663201219,-0.007060682659429778
競馬場,福島,240,3383,0.7616660408061083,0.7902417907956774,-0.02857574998956902,0.7830005833068193,0.7959751829462297,-0.012974599639410389,14.724504877327815,0.01564025065821739,163,2248,0.7877604742190071,0.8132995938492971,-0.025539119630289986,0.8028846002014862,0.8216089209750921,-0.018724320773605863,14.70017793594306,0.016469666412673667,-0.04189354949523138,-0.008762223448819816
競馬場,東京,334,4670,0.8022599998261184,0.833231721232908,-0.03097172140678961,0.7990460258861275,0.8322696233546487,-0.033223597468521215,14.747751605995717,0.020310323491821325,161,2043,0.807220474603353,0.8284969541499707,-0.02127647954661771,0.8327744161745765,0.8531060403554389,-0.02033162418086243,14.888399412628488,0.016170304610214292,-0.03669403135103741,-0.00581560540877507
競馬場,京都,263,3382,0.7777602277602277,0.8083996333996335,-0.030639405639405815,0.7772038664044852,0.8070814595201494,-0.02987759311566418,13.727971614429332,0.02358801588442877,105,1074,0.848257928403648,0.8343330082856495,0.013924920117998507,0.8206916641043484,0.816759179842377,0.003932484261971347,14.30167597765363,-0.012191693819669946,-0.002707515310352306,0.029501191389261543
競馬場,函館,144,1739,0.7663329932840263,0.780340545212389,-0.014007551928362783,0.7994252873563219,0.8049481887843957,-0.005522901428073768,12.822886716503739,0.01000529479032769,143,1743,0.7529864858631982,0.7685557719804295,-0.015569286117231296,0.776499125874126,0.7962303321678321,-0.01973120629370617,12.779690189328743,0.012084163427924677,-0.033527510533062285,0.0009266004892940202
競馬場,札幌,24,264,,,,,,,,,166,2066,0.7528583722645685,0.7892872510449963,-0.036428878780427776,0.7834876347495243,0.8230342422320863,-0.039546607482562,12.882865440464666,0.02876514689917581,,
競馬場,新潟,72,1028,0.7696761692625023,0.7907089728218561,-0.021032803559353885,0.8241079730357973,0.8289313110181311,-0.0048233379823338085,14.98443579766537,0.0021793591528538325,209,2643,0.7913151468309694,0.8080229980151603,-0.016707851184190936,0.7969436708712644,0.8260080503615642,-0.02906437949029983,14.520242149073024,0.011062507249740228,-0.03356849209066181,-0.002572056359129565
