win,period,race_id,field,p1,top3sum,resid,n_eff,ax_hit,top3_hits,rand3,cut5,cut10,cut15,cut20
W1,確認,20260719_03_08,16,0.3829365,0.9802654,2.2872636,12.593585,0,1,0.5625,3,3,3,6
W1,確認,20260719_03_09,16,0.53049296,1.1389475,2.0624619,11.6728735,0,1,0.5625,1,4,7,7
W1,確認,20260719_03_10,12,0.5591232,1.5520388,1.423257,7.3518267,1,3,0.75,3,3,5,5
W1,確認,20260719_03_11,16,0.3479073,0.93454385,1.9106318,12.214131,0,0,0.5625,2,5,5,7
W1,確認,20260719_03_12,15,0.55281687,1.3888825,1.5937951,8.730182,1,2,0.6,4,6,7,8
W1,確認,20260719_10_02,18,0.71096444,1.5511646,1.9988533,9.662784,0,1,0.5,6,8,10,11
W1,確認,20260719_10_03,16,0.42222825,0.9757358,1.857697,11.575537,1,2,0.5625,3,5,6,7
W1,確認,20260719_10_04,13,0.79164743,1.8284729,1.250234,6.332223,1,3,0.6923076923076923,5,6,6,7
W1,確認,20260719_10_05,8,0.47357965,1.2487186,1.207133,7.317973,1,2,1.125,0,0,0,0
W1,確認,20260719_10_06,14,0.66448027,1.548101,1.2491641,7.082043,0,0,0.6428571428571429,3,5,7,9
W1,確認,20260719_10_07,16,0.55281687,1.2308128,1.8715931,10.595489,1,2,0.5625,3,5,6,8
W1,確認,20260719_10_08,14,0.61717856,1.2431936,1.8664693,10.187269,0,0,0.6428571428571429,0,2,5,6
W1,確認,20260719_10_09,8,0.55281687,1.5459903,1.0962802,6.6474776,1,3,1.125,0,0,0,1
W1,確認,20260719_10_10,16,0.49774018,1.1408962,1.8379922,11.217396,0,1,0.5625,3,4,7,9
W1,確認,20260719_10_11,17,0.53062075,1.4948808,1.6560063,9.710457,0,1,0.5294117647058824,4,6,9,12
W1,確認,20260719_10_12,9,0.55586606,1.4892915,1.2968137,6.8623986,1,2,1.0,0,2,2,3
W1,確認,20260725_01_01,8,0.49970827,1.2115207,1.1918024,7.127018,1,2,1.125,0,0,1,1
W1,確認,20260725_01_02,8,0.55281687,1.3408432,1.0725011,6.612877,1,2,1.125,0,1,1,1
W1,確認,20260725_01_03,10,0.55281687,1.6362545,1.3699793,7.1604114,1,3,0.9,2,2,2,3
W1,確認,20260725_01_04,14,0.70190686,1.6857619,1.7598628,8.490975,1,2,0.6428571428571429,3,4,6,6
W1,確認,20260725_01_06,14,0.5109734,1.3650978,1.4445536,8.727242,0,1,0.6428571428571429,2,4,6,8
W1,確認,20260725_01_07,15,0.4627186,1.3434318,2.0943854,10.810638,0,1,0.6,1,2,5,9
W1,確認,20260725_01_08,12,0.61717856,1.4045769,1.4208696,8.239059,0,2,0.75,1,2,4,6
W1,確認,20260725_01_09,10,0.70190686,1.876639,1.3357202,6.7434783,0,0,0.9,1,1,3,4
W1,確認,20260725_01_10,11,0.55281687,1.393017,1.444415,8.19594,0,0,0.8181818181818182,1,1,4,4
W1,確認,20260725_01_11,12,0.66448027,1.3595608,1.5821263,8.5202265,1,2,0.75,1,1,4,4
W1,確認,20260725_01_12,11,0.70240545,1.6626503,1.1602911,6.79275,1,2,0.8181818181818182,2,2,4,5
W1,確認,20260725_04_01,10,0.70190686,1.5421071,1.0443087,6.174513,1,2,0.9,3,3,4,4
W1,確認,20260725_04_02,14,0.45336214,1.0068697,2.224757,12.562388,0,0,0.6428571428571429,0,0,2,3
W1,確認,20260725_04_03,8,0.46892747,1.1625047,1.1328974,7.220949,1,2,1.125,0,0,0,1
W1,確認,20260725_04_04,15,0.71096444,1.9340289,1.4141161,6.981114,0,2,0.6,4,7,10,10
W1,確認,20260725_04_05,11,0.7318511,1.8450925,1.4504653,6.9033747,1,3,0.8181818181818182,3,3,3,5
W1,確認,20260725_04_06,15,0.55281687,1.1641171,1.4045782,9.085878,1,2,0.6,3,5,8,10
W1,確認,20260725_04_07,17,0.71096444,1.2768968,1.7104621,9.359322,0,1,0.5294117647058824,3,5,9,11
W1,確認,20260725_04_08,13,0.48648646,1.1440346,1.6051944,9.725913,1,1,0.6923076923076923,1,2,5,7
